模型系列,模型名称,HF模型名称,HF Model 下载地址,tp,pp
baichuan,baichuan-7b,baichuan-7B,bos:/cce-ai-datasets/huggingface.co/baichuan-inc/baichuan-7B,#N/A,#N/A
baichuan,baichuan-13b,Baichuan-13B-Base,bos:/cce-ai-datasets/huggingface.co/baichuan-inc/Baichuan-13B-Base,#N/A,#N/A
baichuan2,baichuan2-7b,Baichuan2-7B-Base,bos:/cce-ai-models/huggingface.co/baichuan-inc/Baichuan2-7B-Base,1,1
baichuan2,baichuan2-13b,Baichuan2-13B-Base,bos:/cce-ai-models/huggingface.co/baichuan-inc/Baichuan2-13B-Base,1,2
llama,llama-7b,llama-7b-hf,bos:/cce-ai-datasets/huggingface.co/decapoda-research/llama-7b-hf,#N/A,#N/A
llama,llama-13b,llama-13b-hf,bos:/cce-ai-datasets/huggingface.co/decapoda-research/llama-13b-hf,#N/A,#N/A
llama,llama-65b,llama-65b-hf,bos:/cce-ai-datasets/huggingface.co/decapoda-research/llama-65b-hf,#N/A,#N/A
llama2,llama2-7b,Llama-2-7b-hf,bos:/cce-ai-datasets/huggingface.co/meta-llama/Llama-2-7b-hf,1,1
llama2,llama2-13b,Llama-2-13b-hf,bos:/cce-ai-datasets/huggingface.co/meta-llama/Llama-2-13b-hf,1,2
llama2,llama2-70b,Llama-2-70b-hf,bos:/cce-ai-datasets/huggingface.co/meta-llama/Llama-2-70b-hf,4,4
llama3,llama3-8b,Meta-Llama-3-8B-Instruct,bos:/cce-ai-models/huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct,1,1
llama3,llama3-70b,Meta-Llama-3-70B-Instruct,bos:/cce-ai-models/meta-llama/Meta-Llama-3-70B-Instruct,4,4
llama3.1,llama3.1-8b,Meta-Llama-3.1-8B-Instruct,bos:/cce-ai-models/huggingface/meta-llama/Meta-Llama-3.1-8B-Instruct,#N/A,#N/A
llama3.1,llama3.1-70b,Meta-Llama-3.1-70B-Instruct,bos:/cce-ai-models/huggingface.co/meta-llama/Meta-Llama-3.1-70B-Instruct,#N/A,#N/A
llama3.1,llama3.1-405b,Meta-Llama-3.1-405B-Instruct,bos:/cce-ai-models/huggingface.co/meta-llama/Meta-Llama-3.1-405B-Instruct,#N/A,#N/A
mixtral,mixtral-8x7b,Mixtral-8x7B-v0.1,bos:/cce-ai-models/huggingface.co/mistralai/Mixtral-8x7B-v0.1,1,2
mixtral,mixtral-8x22b,Mixtral-8x22B-Instruct-v0.1,bos:/cce-ai-datasets/huggingface.co/mistralai/Mixtral-8x22B-Instruct-v0.1,2,2
qwen,qwen-1.8b,Qwen-1_8B,bos:/cce-ai-models/huggingface.co/Qwen/Qwen-1_8B,1,1
qwen,qwen-7b,Qwen-7B,bos:/cce-ai-models/huggingface.co/Qwen/Qwen-7B,1,1
qwen,qwen-14b,Qwen-14B,bos:/cce-ai-models/huggingface.co/Qwen/Qwen-14B,1,2
qwen,qwen-72b,Qwen-72B,bos:/cce-ai-models/huggingface.co/Qwen/Qwen-72B,2,8
qwen1.5,qwen1.5-0.5b,Qwen1.5-0.5B,bos:/cce-ai-models/huggingface.co/Qwen/Qwen1.5-0.5B,1,1
qwen1.5,qwen1.5-1.8b,Qwen1.5-1.8B-Chat,bos:/cce-ai-models/huggingface.co/Qwen/Qwen1.5-1.8B-Chat,1,1
qwen1.5,qwen1.5-4b,Qwen1.5-4B,bos:/cce-ai-models/huggingface.co/Qwen/Qwen1.5-4B,1,1
qwen1.5,qwen1.5-7b,Qwen1.5-7B-Chat,bos:/cce-ai-models/huggingface.co/Qwen/Qwen1.5-7B-Chat,1,1
qwen1.5,qwen1.5-14b,Qwen1.5-14B-Chat,bos:/cce-ai-models/huggingface.co/Qwen/Qwen1.5-14B-Chat,1,2
qwen1.5,qwen1.5-32b,Qwen1.5-32B-Chat,bos:/cce-ai-models/huggingface.co/Qwen/Qwen1.5-32B-Chat,2,4
qwen1.5,qwen1.5-72b,Qwen1.5-72B-Chat,bos:/cce-ai-models/huggingface.co/Qwen/Qwen1.5-72B-Chat,2,8
qwen2,qwen2-0.5b,Qwen2-0.5B-Instruct,bos:/cce-ai-models/huggingface.co/Qwen/Qwen2-0.5B-Instruct,1,1
qwen2,qwen2-1.5b,Qwen2-1.5B-Instruct,bos:/cce-ai-models/huggingface.co/Qwen/Qwen2-1.5B-Instruct,1,1
qwen2,qwen2-7b,Qwen2-7B-Instruct,bos:/cce-ai-models/huggingface.co/Qwen/Qwen2-7B-Instruct,1,1
qwen2,qwen2-72b,Qwen2-72B-Instruct,bos:/cce-ai-models/huggingface.co/Qwen/Qwen2-72B-Instruct,8,4
stdit,STDiT-XL/2,OpenSora-STDiT-v2-stage3,bos:/cce-ai-models/huggingface.co/hpcai-tech/OpenSora-STDiT-v2-stage3,#N/A,#N/A
